height_cm,media,price_gbp,title,url,width_cm
8.5,"18k goldleaf, grey casting cement and white wax.",140,Ore by Vic Wright,https://www.bearspace.co.uk/product-page/ore-by-vic-wright,8
70,Digital print on Canvas with hand dissolved ink,840,"Of Earth, Air and Water by Jane Ward",https://www.bearspace.co.uk/product-page/of-earth-air-and-water-by-jane-ward,90
39,Acrylic and oil on board,640,Lucinda Metcalfe - Neon Pool,https://www.bearspace.co.uk/product-page/neon-pool,49.5
89,Artist: Bella Easton,2800,MYRIORAMA ROOM series - LAMP by Bella Easton,https://www.bearspace.co.uk/product-page/myriorama-room-series-lamp-by-bella-easton,117
89,Artist: Bella Easton,2800,MYRIORAMA ROOM series – FIREPLACE II by Bella Easton,https://www.bearspace.co.uk/product-page/myriorama-room-series-fireplace-ii-by-bella-easton,117
89,Artist: Bella Easton,2800,MYRIORAMA ROOM series –ARMCHAIR by Bella Easton,https://www.bearspace.co.uk/product-page/myriorama-room-series-armchair-by-bella-easton,117
45,Oil on Gessoed canvas on Board,9800,Museum of now by John Greenwood,https://www.bearspace.co.uk/product-page/museum-of-now-by-john-greenwood,38
50,Archival digital print,540,Moving from the side of the valley by Janie Kidston,https://www.bearspace.co.uk/product-page/moving-from-the-side-of-the-vallery,60
40,"oil with charcoal, watercolour and pencil on canvas",640,Morning Came by Dominic Bradnum,https://www.bearspace.co.uk/product-page/morning-came-by-dominic-bradnum,50
18,"13K gold leaf, copper leaf, white casting cement, iron and pigment",440,Meld 4 by Vic Wright,https://www.bearspace.co.uk/product-page/meld-4-by-vic-wright,15
18,"13k gold leaf, white casting cement and ink",440,Meld 3 by Vic Wright,https://www.bearspace.co.uk/product-page/meld-3-by-vic-wright,12
15,"24k goldleaf, white and black cement with iron",320,Meld 2 by Vic Wright,https://www.bearspace.co.uk/product-page/meld-2-by-vic-wright,12
17,"24k gold leaf, white casting cement and ground iron",440,Meld 1 by Vic Wright,https://www.bearspace.co.uk/product-page/meld-1-by-vic-wright,14
17,"16K goldleaf, white casting cement, pigment and ink",440,Meld 6 by Vic Wright,https://www.bearspace.co.uk/product-page/meld-5-by-vic-wright,18
80,oil on canvas with charcoal and watercolour,1600,I See Beauty In Everything by Dominic Badnum,https://www.bearspace.co.uk/product-page/i-see-beauty-in-everything-by-dominic-badnum,100
70,Digital print on Canvas with hand dissolved ink,840,In These Solitudes by Jane Ward,https://www.bearspace.co.uk/product-page/in-these-solitudes-by-jane-ward,90
70,"Oil with charcoal, watercolour, salt & sand on canvas",1400,I Crash Into Your Arms by Dominic Bradnum,https://www.bearspace.co.uk/product-page/i-crash-into-your-arms,100
50,Paint onto Aluminium with subframe,490,Jubellied (joy song) by Nadja Gabriela Plein,https://www.bearspace.co.uk/product-page/jubellied-joy-song-by-nadja-gabriela-plein,41
132,"Oil,enamel and acrylic on canvas",2400,Jerome's Peak by Chris Hawtin,https://www.bearspace.co.uk/product-page/jerome-s-peak-by-chris-hawtin,143
57,Oil on Canvas,940,March by Chris Hawtin,https://www.bearspace.co.uk/product-page/march-by-chris-hawtin,62
40,"Oil, acrylic and pigment on canvas",640,Loneliness by Chris Hawtin,https://www.bearspace.co.uk/product-page/loneliness-by-chris-hawtin,30
16,"24k gold leaf, crystal, iron and white and grey casting cement.",440,Kin by Vic Wright,https://www.bearspace.co.uk/product-page/kin-by-vic-wright,14
30,Oil paint & spray paint on board,0,Hurricane by Lucy Baker,https://www.bearspace.co.uk/product-page/hurricane-by-lucy-baker,40
43,Oil Paint on Board,640,Heated Discussion by Lucinda Metcalfe,https://www.bearspace.co.uk/product-page/heated-discussion-by-lucinda-metcalfe,38
40,Oil & acrylic on canvas,695,Guiding Light by Chris Hawtin,https://www.bearspace.co.uk/product-page/guiding-light-by-chris-hawtin,30
60,Digital print with hand dissolved ink and gold leaf,490,Garden City State 1c by Jane Ward,https://www.bearspace.co.uk/product-page/garden-city-state-1c-by-jane-ward,45
198,"Oil, enamel, acrylic and resin on canvas",4000,Gregor's Hollow by Chris Hawtin,https://www.bearspace.co.uk/product-page/gregor-s-hollow-by-chris-hawtin,198
58,Sculpted hand and laser cut paper,1200,Green Sanctuary by Dionne Cole,https://www.bearspace.co.uk/product-page/green-sanctuary-by-dionne-cole,85.5
60,Archival Digital print,690,Gloaming by Suzanne Moxhay,https://www.bearspace.co.uk/product-page/gloaming-by-suzanne-moxhay,40
80,Digital print with dissolved ink,990,(GCS) High Rise - Jane Ward,https://www.bearspace.co.uk/product-page/gcs-high-rise-jane-ward,60
60,Digital print with hand dissolved ink and gold leaf,490,Garden City State 1b by Jane Ward,https://www.bearspace.co.uk/product-page/garden-city-state-1b-by-jane-ward,45
24,Digital print on Aluminium,340,From Frozen Floods by Jane Ward,https://www.bearspace.co.uk/product-page/from-frozen-floods-by-jane-ward-1,30
70,Digital print on Canvas with hand dissolved ink,840,From Frozen Floods by Jane Ward,https://www.bearspace.co.uk/product-page/from-frozen-floods-by-jane-ward,90
30.5,"Resin, pigments, inkjet prints, MDF",490,Fragstudy 7 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-5-by-jim-cheatle,23
30.5,"Resin, pigments, inkjet prints, MDF",490,Fragstudy 4 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-4-by-jim-cheatle,23
60,Digital print with hand dissolved ink and gold leaf,490,Garden City State 1a by Jane Ward,https://www.bearspace.co.uk/product-page/garden-city-state-1a-by-jane-ward,45
90,Digital print on canvas with dissolved ink and gold leaf,1400,From the Curved Horizon by Jane Ward,https://www.bearspace.co.uk/product-page/from-the-curved-horizon-by-jane-ward,120
45,Digital print on Aluminium,640,From Steep to Steep by Jane Ward,https://www.bearspace.co.uk/product-page/from-steep-to-steep-by-jane-ward,60
30.5,"Resin, pigments, inkjet prints, MDF",490,Fragstudy 3 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-3-by-jim-cheatle,23
30.5,"Resin, pigments, inkjet prints, MDF",490,Fragstudy 1 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-1-by-jim-cheatle,23
70,"Resin, pigments, indian ink, watercolour paper, inkjet prints, MDF",1200,FRAGMENTATION No.46 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-46-by-jim-cheatle,54.5
70,"Resin, pigments, inkjet prints, acrylic, paper, MDF",1200,FRAGMENTATION No.45 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-45-by-jim-cheatle,54.5
70,"Resin, pigments, inkjet prints, canvas, MDF",1200,FRAGMENTATION No.44 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-44-by-jim-cheatle,54.5
70,"Resin, pigments, canvas, paper, inkjet prints, MDF",1200,FRAGMENTATION No.33 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-33-by-jim-cheatle,54.5
70,"Resin, pigments, canvas, paper, inkjet prints, MDF",1200,FRAGMENTATION No.17 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-17-by-jim-cheatle,54.5
30.5,"Resin, pigments, inkjet prints, MDF",490,Fragstudy 2 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragstudy-2-by-jim-cheatle,23
70,"Resin, pigments, paper, indian ink, inkjet prints, MDF",1200,FRAGMENTATION No.10 by Jim Cheatle,https://www.bearspace.co.uk/product-page/fragmentation-no-10-by-jim-cheatle,54.5
7.5,Fine white casting cement and 24k gold leaf,140,Facet 4 by Vic Wright,https://www.bearspace.co.uk/product-page/facet-4-by-vic-wright,6
92,Sculpted hand and laser cut paper,2800,Flight by Dionne Cole,https://www.bearspace.co.uk/product-page/flight-by-dionne-cole,155
68,Archival Digital print,690,Feralis by Suzanne Moxhay,https://www.bearspace.co.uk/product-page/feralis-by-suzanne-moxhay,55
22,Mixed media,640,Factory by Chris Hawtin,https://www.bearspace.co.uk/product-page/factory-by-chris-hawtin,1413.5
10,13k gold leaf and grey casting cement.,140,Facet by Vic Wright,https://www.bearspace.co.uk/product-page/facet-by-vic-wright,6
8,"Fine white casting cement, ink and 24k gold leaf",140,Facet 5 by Vic Wright,https://www.bearspace.co.uk/product-page/facet-5-by-vic-wright,6.5
35,Acrylic and oil paint on canvas,340,"""Follow"" by Deanna Lewis",https://www.bearspace.co.uk/product-page/follow-by-deanna-lewis,50
7,"Fine white casting cement, ink and 18k gold",140,Facet 3 by Vic Wright,https://www.bearspace.co.uk/product-page/facet-3-by-vic-wright,7
40,"porcelain, pink acrylic, wood, steel, wire",240,Emplacement 5 by Victoria Ashdown,https://www.bearspace.co.uk/product-page/emplacement-5-by-victoria-ashdown,26
35,Acrylic and oil paint on canvas,340,"""Exchange"" by Deanna Lewis",https://www.bearspace.co.uk/product-page/exchange-by-deanna-lewis,50
7,"24k gold leaf, white casting cement and ink",140,Facet 2 by Vic Wright,https://www.bearspace.co.uk/product-page/facet-2-by-vic-wright,7
50,Graphite on paper,720,Entry Point by Joseph Stokes,https://www.bearspace.co.uk/product-page/entry-point-by-joseph-stokes,40
198,"Oil, enamel, acrylic and plaster on canvas",4000,Ennio Fallen by Chris Hawtin,https://www.bearspace.co.uk/product-page/ennio-fallen-by-chris-hawtin,198
43,"Porcelain, blue acylic, wood, steel, wire",180,Emplacement 4 by Victoria Ashdown,https://www.bearspace.co.uk/product-page/emplacement-4-by-victoria-ashdown,25
13,"Porcelain, orange acrylic, concrete, wire",240,Emplacement 7 by Victoria Ashdown,https://www.bearspace.co.uk/product-page/emplacement-7-by-victoria-ashdown,23
20,"porcelain, green acrylic, concrete, wire",240,Emplacement 6 by Victoria Ashdown,https://www.bearspace.co.uk/product-page/emplacement-6-by-victoria-ashdown,21
30,"Porcelain, red acrylic, steel, wire",140,Emplacement 1 by Victoria Ashdown,https://www.bearspace.co.uk/product-page/emplacement-1-by-victoria-ashdown,30
15,"Green acrylic, wood, steel, wire",180,Emplacement 3 by Victoria Ashdown,https://www.bearspace.co.uk/product-page/emplacement-3-by-victoria-ashdown,42
26,"Yellow acrylic, steel and wire",180,Emplacement 2 by Victoria Ashdown,https://www.bearspace.co.uk/product-page/emplacement-2-by-victoria-ashdown,4
40,Oil and acrylic on canvas,640,Embers by Chris Hawtin,https://www.bearspace.co.uk/product-page/embers-by-chris-hawtin,30
45,Oil on Gessoed canvas on Board,3800,El Dorado by John Greenwood,https://www.bearspace.co.uk/product-page/el-dorado-by-john-greenwood,38
76,"Sculpted hand and laser cut paper, pins",1400,Disperse by Dionne Cole,https://www.bearspace.co.uk/product-page/disperse-by-dionne-cole,101.6
120,Sprayed board,4000,Crossroads by Olly Fathers,https://www.bearspace.co.uk/product-page/crossroads-by-olly-fathers,120
22,Mixed media,640,copy of Recon Drones by Chris Hawtin,https://www.bearspace.co.uk/product-page/copy-of-recon-drones-by-chris-hawtin,1413.5
17,"13K gold leaf, copper leaf, white casting cement, iron and pigment",420,Meld 5,https://www.bearspace.co.uk/product-page/copy-of-meld-5,15
16.5,18K gold leaf and white casting cement,440,Conversation by Vic Wright,https://www.bearspace.co.uk/product-page/conversation-by-vic-wright,13
12,"Fine white casting cement, ink, crystals and 24k gold leaf",340,Conversation 3 by Vic Wright,https://www.bearspace.co.uk/product-page/conversation-3-by-vic-wright,10
12,Black and white casting cement with 24k gold leaf,320,Conversation 2 by Vic Wright,https://www.bearspace.co.uk/product-page/conversation-2-by-vic-wright,8
34,"Various wood veneers, various woods, board",940,Constructed Veneer VII by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-vii-by-olly-fathers,25
26,"Various wood veneers, various woods, board",940,Constructed Veneer VI by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-5-by-olly-fathers-1,24
30,"Various wood veneers, various woods, board",940,Constructed Veneer V by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-5-by-olly-fathers,33
38,"Various wood veneers, various woods, board",1100,Constructed Veneer IV by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-4-by-olly-fathers,32
29.7,"Spraypaint, vinyl, card, digital print collage",175,Collage 1 by Olly Fathers,https://www.bearspace.co.uk/product-page/collage-1-by-olly-fathers,21
29.7,"Spraypaint, vinyl, card, digital print collage",175,Collage 3 by Olly Fathers,https://www.bearspace.co.uk/product-page/collage-3-by-olly-fathers,21
29.7,"Spraypaint, vinyl, card, digital print collage",175,Collage 2 by Olly Fathers,https://www.bearspace.co.uk/product-page/collage-2-by-olly-fathers,21
40,Watercolour and hand coloured copper plate etching on Velin Arches,940,Chiral VI by Bella Easton,https://www.bearspace.co.uk/product-page/chiral-vi-by-bella-easton,18
40.7,Inkjet Print (Hahnemuhle Ultra-Smooth),340,Balancing Acts II by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-ii-by-elise-wootten,50.8
40.7,Inkjet Print (Hahnemuhle Ultra-Smooth),340,Balancing Acts I by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-i-by-elise-wootten,50.8
40.7,Inkjet Print (Hahnemuhle Ultra-Smooth),340,Balancing Acts III by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-iii-by-elise-wootten,50.8
100,Archival Digital Print ,690,Athne by Suzanne Moxhay,https://www.bearspace.co.uk/product-page/athne-by-suzanne-moxhay,50
56,Pencil on Arches paper,3200,ANGEL HEART by Bella Easton,https://www.bearspace.co.uk/product-page/angel-heart-by-bella-easton,41
110,"Oil paint, spray paint & gold leaf on board",1600,Amazons by Lucy Baker,https://www.bearspace.co.uk/product-page/amazons-by-lucy-baker,130
42,"Oil paint, spray paint & gold leaf on board",340,Another Sunset by Lucy Baker,https://www.bearspace.co.uk/product-page/another-sunset-by-lucy-baker,34
125,Digital print on canvas with hand dissoved ink,1400,Amongst the Impcat Scars by Jane Ward,https://www.bearspace.co.uk/product-page/amongst-the-impcat-scars,90
99,"Oil, enamel and acrylic on canvas",1600,Anxiety Machines by Chris Hawtin,https://www.bearspace.co.uk/product-page/anxiety-machines,99
70,Digital print on Canvas with hand dissolved ink,840,And The Sunset by Jane Ward,https://www.bearspace.co.uk/product-page/and-the-sunset-by-jane-ward,90
40,Digital print on canvas with hand dissolved ink,290,Alpine 3 by Jane Ward,https://www.bearspace.co.uk/product-page/alpine-3-by-jane-ward-1,30
40,Digital print on canvas with hand dissolved ink,290,Alpine 4 by Jane Ward,https://www.bearspace.co.uk/product-page/alpine-3-by-jane-ward,30
40,Digital print on canvas with hand dissolved ink,290,Alpine 2 by Jane Ward,https://www.bearspace.co.uk/product-page/alpine-2-by-jane-ward,30
40.9,Set of four,1200,All Recognisable Entities by Elise Wootten,https://www.bearspace.co.uk/product-page/all-recognisable-entities-by-elise-wootten,50.2
40,Digital print on canvas with hand dissolved ink,290,Alpine 1 by Jane Ward,https://www.bearspace.co.uk/product-page/alpine-1-by-jane-ward,30
